Designator,Mid X,Mid Y,Layer,Rotation
C1,51.40,-9.20,T,0.00
C2,52.20,-5.90,T,270.00
C3,54.20,-7.80,T,270.00
C4,47.88,4.35,T,0.00
C5,48.40,-1.40,T,270.00
C6,51.20,-7.80,T,270.00
C7,51.25,-5.90,T,270.00
C8,43.20,-1.70,T,180.00
C9,45.30,5.80,T,0.00
C10,50.90,-11.00,T,270.00
C11,44.00,-4.10,T,270.00
C12,45.70,-10.70,T,90.00
C13,52.70,-3.28,T,90.00
C14,53.70,-3.28,T,90.00
D1,41.40,-6.49,T,90.00
D2,35.66,8.66,T,270.00
D3,35.70,0.40,T,270.00
D4,37.90,0.90,T,270.00
J1,54.02,8.65,T,180.00
J2,46.90,8.75,T,180.00
L1,52.70,-7.40,T,180.00
Q1,40.46,8.25,T,0.00
R1,52.50,-10.99,T,90.00
R2,40.99,-4.10,T,90.00
R3,40.40,-11.40,T,270.00
R4,46.00,4.35,T,0.00
R5,51.70,-3.30,T,270.00
R6,46.60,-1.40,T,270.00
R7,43.50,-6.49,T,180.00
R8,43.49,-7.80,T,180.00
R9,59.30,9.20,T,270.00
R10,59.30,7.20,T,90.00
R11,34.40,8.11,T,270.00
R12,42.80,-4.10,T,270.00
R13,41.40,10.50,T,180.00
R14,34.40,-0.15,T,270.00
R15,37.90,-1.70,T,180.00
R16,41.30,-1.70,T,180.00
R18,37.50,7.10,T,180.00
R19,53.70,-5.90,T,90.00
R20,38.90,10.70,T,180.00
SW2,51.60,1.70,T,270.00
U1,34.32,-7.41,T,270.00
U2,35.70,4.81,T,180.00
U3,47.60,-5.50,T,180.00
U4,41.60,2.60,T,90.00
U5,47.10,1.75,T,270.00
Y1,48.30,-10.70,T,180.00
